
Schematic Net Listing
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
Part                             Reference                        Sym Sub Pin Eqv Sub Pin  Pin Phantom    Net         Net
Number                           Designator                       Num Typ Id  Cls Pak Text Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
A24010001                        Q5                                 4   1   1   1   1 3      3 0 XSIG010167          466945
A24010001                        Q5                                 4   1   2   2   1 1      1 0 XSIG010169          471041
A24010001                        Q5                                 4   1   3   3   1 2      2 0 FAN_GND             720897
A29010021                        SW1                                9   1   1   1   1 1      1 0 XSIG010094          344065
A29010021                        SW1                                9   1   2   2   1 2      2 0 XSIG010094          344065
A29010021                        SW1                                9   1   3   3   1 3      3 0 DISPLAY_KEY         753665
A29010021                        SW1                                9   1   4   4   1 4      4 0 DISPLAY_KEY         753665
A29010021                        SW2                                8   1   1   1   1 1      1 0 XSIG010033          106497
A29010021                        SW2                                8   1   2   2   1 2      2 0 XSIG010033          106497
Schematic Net Listing
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
Part                             Reference                        Sym Sub Pin Eqv Sub Pin  Pin Phantom    Net         Net
Number                           Designator                       Num Typ Id  Cls Pak Text Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
A29010021                        SW2                                8   1   3   3   1 3      3 0 DISPLAY_KEY         753665
A29010021                        SW2                                8   1   4   4   1 4      4 0 DISPLAY_KEY         753665
A36020105                        H1                                47   1   1   1   1 1      1 0                        0
A36020105                        H2                                46   1   1   1   1 1      1 0                        0
A42010021                        LED1                              44   1   1   1   1 10    10 0 A                   270337
A42010021                        LED1                              44   1   2   2   1 9      9 0 B                   274433
A42010021                        LED1                              44   1   3   3   1 7      7 0 C                   278529
A42010021                        LED1                              44   1   4   4   1 3      3 0 COM2                57345
A42010021                        LED1                              44   1   5   5   1 5      5 0 D                   282625
A42010021                        LED1                              44   1   6   6   1 6      6 0 H                   614401
A42010021                        LED1                              44   1   7   7   1 4      4 0 E                   286721
A42010021                        LED1                              44   1   8   8   1 2      2 0 F                   290817
A42010021                        LED1                              44   1   9   9   1 1      1 0 G                   294913
A42010021                        LED1                              44   1  10  10   1 8      8 0 COM2                57345
A42010021                        LED2                              43   1   1   1   1 10    10 0 A                   270337
A42010021                        LED2                              43   1   2   2   1 9      9 0 B                   274433
A42010021                        LED2                              43   1   3   3   1 7      7 0 C                   278529
A42010021                        LED2                              43   1   4   4   1 3      3 0 COM3                65537
A42010021                        LED2                              43   1   5   5   1 5      5 0 D                   282625
A42010021                        LED2                              43   1   6   6   1 6      6 0 H                   614401
A42010021                        LED2                              43   1   7   7   1 4      4 0 E                   286721
A42010021                        LED2                              43   1   8   8   1 2      2 0 F                   290817
A42010021                        LED2                              43   1   9   9   1 1      1 0 G                   294913
A42010021                        LED2                              43   1  10  10   1 8      8 0 COM3                65537
A42010021                        LED3                              45   1   1   1   1 10    10 0 A                   270337
A42010021                        LED3                              45   1   2   2   1 9      9 0 B                   274433
A42010021                        LED3                              45   1   3   3   1 7      7 0 C                   278529
A42010021                        LED3                              45   1   4   4   1 3      3 0 COM1                49153
A42010021                        LED3                              45   1   5   5   1 5      5 0 D                   282625
A42010021                        LED3                              45   1   6   6   1 6      6 0 H                   614401
A42010021                        LED3                              45   1   7   7   1 4      4 0 E                   286721
A42010021                        LED3                              45   1   8   8   1 2      2 0 F                   290817
A42010021                        LED3                              45   1   9   9   1 1      1 0 G                   294913
A42010021                        LED3                              45   1  10  10   1 8      8 0 COM1                49153
A45010055                        J1                                96   1   1   1   1 1      1 0                        0
A48070022                        U2                                89   1   1   1   1 3      3 0 AGND                724993
A48070022                        U2                                89   1   2   2   1 1      1 0 VCC5                737281
A48070022                        U2                                89   1   3   3   1 2      2 0 E_TEMP              729089
A50010040                        U1                                 2   1   1   1   1 1      1 0 XSIG010009          28673
A50010040                        U1                                 2   1   2   2   1 2      2 0 XSIG010009          28673
A50010040                        U1                                 2   1   3   3   1 8      8 0 DISPLAY_CLK         409601
A50010040                        U1                                 2   1   4   4   1 9      9 0 XSIG010001          4097
A50010040                        U1                                 2   1   5   5   1 3      3 0 XSIG010070          245761
A50010040                        U1                                 2   1   6   6   1 4      4 0 XSIG010071          249857
A50010040                        U1                                 2   1   7   7   1 5      5 0 XSIG010072          253953
A50010040                        U1                                 2   1   8   8   1 6      6 0                        0
A50010040                        U1                                 2   1   9   9   1 10    10 0                        0
A50010040                        U1                                 2   1  10  10   1 11    11 0 R_LED               258049
A50010040                        U1                                 2   1  11  11   1 12    12 0 B_LED               262145
A50010040                        U1                                 2   1  12  12   1 13    13 0 G_LED               266241
A50010040                        U1                                 0   6   1   1   2 14    14 1 +3.3V_DC            778241
Schematic Net Listing
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
Part                             Reference                        Sym Sub Pin Eqv Sub Pin  Pin Phantom    Net         Net
Number                           Designator                       Num Typ Id  Cls Pak Text Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
A50010040                        U1                                 0   7   1   1   3 7      7 1 AGND                724993
A50010040                        U3                                 1   1   1   1   1 1      1 0 DISPLAY_MO          413697
A50010040                        U3                                 1   1   2   2   1 2      2 0 DISPLAY_MO          413697
