
Schematic Net Listing
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
Part                             Reference                        Sym Sub Pin Eqv Sub Pin  Pin Phantom    Net         Net
Number                           Designator                       Num Typ Id  Cls Pak Text Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
07090554                         R537                            1098   1   1   1   1 1      1 0 DRV_C_G4_DSP        151597057
Schematic Net Listing
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
Part                             Reference                        Sym Sub Pin Eqv Sub Pin  Pin Phantom    Net         Net
Number                           Designator                       Num Typ Id  Cls Pak Text Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
07090554                         R537                            1098   1   2   1   1 2      2 0 XSIG110170          151592961
07090554                         R538                            1097   1   1   1   1 1      1 0 DRV_AC_RSV1_DSP     151670785
07090554                         R538                            1097   1   2   1   1 2      2 0 XSIG110246          151810049
07090554                         R539                            1096   1   1   1   1 1      1 0 DRV_AC_RSV2_DSP     151711745
07090554                         R539                            1096   1   2   1   1 2      2 0 XSIG110213          151707649
07090554                         R540                            1095   1   1   1   1 1      1 0 DRV_MAIN_RLY_DSP    151752705
07090554                         R540                            1095   1   2   1   1 2      2 0 XSIG110225          151748609
07090554                         R541                            1094   1   1   1   1 1      1 0 DRV_SOFT_RLY_DSP    151797761
07090554                         R541                            1094   1   2   1   1 2      2 0 XSIG110241          151793665
07090554                         R542                            1093   1   1   1   1 1      1 0 DC1_DRV_Pri_1_DSP   151863297
07090554                         R542                            1093   1   2   1   1 2      2 0 XSIG120128          151859201
07090554                         R543                            1092   1   1   1   1 1      1 0 DC1_DRV_Pri_2_DSP   151900161
07090554                         R543                            1092   1   2   1   1 2      2 0 XSIG120141          151896065
07090554                         R544                            1091   1   1   1   1 1      1 0 DC1_DRV_Pri_3_DSP   151937025
07090554                         R544                            1091   1   2   1   1 2      2 0 XSIG120155          151932929
07090554                         R545                            1090   1   1   1   1 1      1 0 DC1_DRV_Pri_4_DSP   151973889
07090554                         R545                            1090   1   2   1   1 2      2 0 XSIG120165          151969793
07090554                         R546                            1089   1   1   1   1 1      1 0 DC1_DRV_Sec_1_DSP   152047617
07090554                         R546                            1089   1   2   1   1 2      2 0 XSIG120239          152186881
07090554                         R547                            1088   1   1   1   1 1      1 0 DC1_DRV_Sec_2_DSP   152088577
07090554                         R547                            1088   1   2   1   1 2      2 0 XSIG120206          152084481
07090554                         R548                            1087   1   1   1   1 1      1 0 DC1_DRV_Sec_3_DSP   152129537
07090554                         R548                            1087   1   2   1   1 2      2 0 XSIG120221          152125441
07090554                         R549                            1086   1   1   1   1 1      1 0 DC1_DRV_Sec_4_DSP   152174593
07090554                         R549                            1086   1   2   1   1 2      2 0 XSIG120235          152170497
07090554                         R550                            1085   1   1   1   1 1      1 0 DC2_DRV_Pri_1_DSP   152240129
07090554                         R550                            1085   1   2   1   1 2      2 0 XSIG130232          152236033
07090554                         R551                            1084   1   1   1   1 1      1 0 DC2_DRV_Pri_2_DSP   152276993
07090554                         R551                            1084   1   2   1   1 2      2 0 XSIG130242          152272897
07090554                         R552                            1083   1   1   1   1 1      1 0 DC2_DRV_Pri_3_DSP   152313857
07090554                         R552                            1083   1   2   1   1 2      2 0 XSIG130251          152309761
07090554                         R553                            1082   1   1   1   1 1      1 0 DC2_DRV_Pri_4_DSP   152350721
07090554                         R553                            1082   1   2   1   1 2      2 0 XSIG130264          152346625
07090554                         R554                            1081   1   1   1   1 1      1 0 DC2_DRV_Sec_1_DSP   152424449
07090554                         R554                            1081   1   2   1   1 2      2 0 XSIG130339          152563713
07090554                         R555                            1080   1   1   1   1 1      1 0 DC2_DRV_Sec_2_DSP   152465409
07090554                         R555                            1080   1   2   1   1 2      2 0 XSIG130306          152461313
07090554                         R556                            1079   1   1   1   1 1      1 0 DC2_DRV_Sec_3_DSP   152506369
07090554                         R556                            1079   1   2   1   1 2      2 0 XSIG130321          152502273
07090554                         R557                            1078   1   1   1   1 1      1 0 DC2_DRV_Sec_4_DSP   152551425
07090554                         R557                            1078   1   2   1   1 2      2 0 XSIG130335          152547329
07090554                         R558                            1077   1   1   1   1 1      1 0 PWM_FAN_DSP         152653825
07090554                         R558                            1077   1   2   1   1 2      2 0 XSIG140250          152649729
07090555                         R580                            1169   1   1   1   1 1      1 0 XSIG180075          153792513
07090555                         R580                            1169   1   2   1   1 2      2 0 XSIG180066          153763841
07090601                         R89                              372   1   1   1   1 1      1 0 XSIG031120          149200897
07090601                         R89                              372   1   2   1   1 2      2 0 XSIG031122          149204993
07090601                         R90                              373   1   1   1   1 1      1 0 XSIG031000          148951041
07090601                         R90                              373   1   2   1   1 2      2 0 XSIG031003          148955137
07090601                         R91                              371   1   1   1   1 1      1 0 XSIG031018          148996097
07090601                         R91                              371   1   2   1   1 2      2 0 XSIG031021          149000193
Schematic Net Listing
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
Part                             Reference                        Sym Sub Pin Eqv Sub Pin  Pin Phantom    Net         Net
Number                           Designator                       Num Typ Id  Cls Pak Text Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
07090601                         R384                             369   1   1   1   1 1      1 0 XSIG170465          153710593
07090601                         R384                             369   1   2   1   1 2      2 0 XSIG170467          153718785
07090601                         R385                             368   1   1   1   1 1      1 0 VA_INNER_DSP        153317377
07090601                         R385                             368   1   2   1   1 2      2 0 ADC_A3              153313281
07090601                         R386                             367   1   1   1   1 1      1 0 VB_INNER_DSP        153325569
07090601                         R386                             367   1   2   1   1 2      2 0 ADC_A4              153321473
07090601                         R387                             366   1   1   1   1 1      1 0 VC_INNER_DSP        153333761
07090601                         R387                             366   1   2   1   1 2      2 0 ADC_A5              153329665
07090601                         R388                             365   1   1   1   1 1      1 0 IL_A_DSP            153292801
07090601                         R388                             365   1   2   1   1 2      2 0 ADC_A0              153288705
07090601                         R389                             364   1   1   1   1 1      1 0 DC1_I_L_DSP         153341953
07090601                         R389                             364   1   2   1   1 2      2 0 ADC_B0              153337857
07090601                         R390                             363   1   1   1   1 1      1 0 DC2_I_L_DSP         153350145
07090601                         R390                             363   1   2   1   1 2      2 0 ADC_B1              153346049
07090601                         R391                             362   1   1   1   1 1      1 0 IL_B_DSP            153300993
07090601                         R391                             362   1   2   1   1 2      2 0 ADC_A1              153296897
07090601                         R392                             361   1   1   1   1 1      1 0 IL_C_DSP            153309185
07090601                         R392                             361   1   2   1   1 2      2 0 ADC_A2              153305089
07090601                         R393                             354   1   1   1   1 1      1 0 XSIG070418          150122497
07090601                         R393                             354   1   2   1   1 2      2 0 OCP_AUX_A           150171649
07090601                         R394                             353   1   1   1   1 1      1 0 XSIG070436          150192129
07090601                         R394                             353   1   2   1   1 2      2 0 OCP_AUX_B           150241281
07090601                         R395                             352   1   1   1   1 1      1 0 XSIG070454          150261761
07090601                         R395                             352   1   2   1   1 2      2 0 OCP_AUX_C           150310913
